,text,airline_sentiment
1937,@united after 6 hour plus delay from washingtondc finally on flight to edinburgh all very tired,negative
1938,@united thank you,positive
1939,@united i do not believe that you do.. ,negative
1940,@united can you change dkyde6 to 4583gt;36 on 223 instead of 3636gt;606gt;36; original reservation was for 4404gt;36 yesterday but was cancelled flightled.,neutral
1941,@united : flight delayed by 24 hours lost my wallet have no money to eat or sleep yet your representatives will not help.unitedsucks,negative
1942,@united lost 4 loyal customers and mileage plus card holders. we could have driven to florida from pa quicker both ways! worst trip ever!,negative
1943,@united they let us board again but will we fly this time? who knows! shouldhaveflowndelta,negative
1944,@united apparently sleeping in b terminal was not the worst situation. someone told other ua passengers they had to sleep at baggage claim.,negative
1945,@united why do not you deice while the plane sits there with no one in it for 2 hours ?? or we could just delay :,negative
1946,@united fuck you for not caring ,negative
1947,@united its been five days I am just asking you to clarify your policy on car seats. i do not want to have to take this higher up.,negative
1948,@united question. are departure times based off eastern central time or the time zone your actually in?,neutral
1949,very quick! ty. @united: @auciello i am sorry to hear this. can you please follow and dm me the details of what transpired? jh,positive
1950,@united if you lost my belongings then be honest!,negative
1951,@united back at the denver airport and ready for round two today. ready to get home!,negative
1952,@united  of course this morning i see a nonstop from iah to sfo but that was not available yesterday. unitedhatesusall,negative
1953,@united 20 minutes plus to get through to a two after the first one transferred me to a spanish hotline is unacceptable!,negative
1954,@united @delta lost my luggage from atl to  hdn luggage in denver and said @united will deliver my luggage to hdn airport claim hdndl11785,negative
1955,@united if united loses your baggage they will get it to the airport in the country your in and then it disappears!,negative
1956,@united was on nh10 on united ticket rerouted to iad due to weather in jfk. can you get us home on united 5713 or 3277?,neutral
1957,@united thank you for wasting my time amp; money. not only will i now arrive 5 hours late flight to my destination but...,negative
1958,@united do not fly united with checked baggage! it will never find you!,negative
1959,@united why cannot you have an englishspanish rep call me so we can locate my bag and resolve this issue?,negative
1960,@united why would you overnight my bag wed to an unknown location with a courier company you apparently cannot contact!,negative
1961,@united hey thanks again for helping me miss my buddies 30th bday you guys are really a trashy company shouldhaveflowndelta unitedsucks,negative
1962,@united i have never been more frustrated than my conversations with united who cannot speak spanish to the courier company that has my bag!,negative
1963,@united i have never been mislead by a company as many times as i have this week by united airlines!,negative
1964,@united i would never fly united airlines again!,negative
1965,@united i am still in the airport waiting for my flight.,negative
1966,@united your airline has been telling me that my luggage is one hour away from my destination for 5 days!,negative
1967,@united now there is no one to operate the ramp to let us out of the plane in iah...wow..just wow,negative
1968,@united just did! thank you!,positive
1969,@united thank you!,positive
1970,@united cancelled flights your flight then sends you an email saying think about your next flight... customer outrage ,negative
1971,@united did your super computer  ots pants? lots of cranky people in line at cmh reflight booking problems delaying checkins of ontime direct flyers,negative
1972,@united  you rebooked me to ua1764 after ua 3883 was cancelled flightled. i paid for first class ticket  but new seat is 38e. can you please fix!,negative
1973,@united we need a new flight to tucson,neutral
1974,@united is your checkin system down? I am having trouble checking in for a flight that departs in less than 24 hrs.,negative
1975,@united fuck you and your closed premier access lines at ord. probably gonna miss my flight...start treating your customers better.,negative
1976,@united good luck with the noenertainmenton6hourflights strategy. innovation at work. hello @jetblue ,negative
1977,@united no human contact for 2 mths from @americanair cust relations or refund dept. if ever a problem do u have humans i can talk to?,negative
1978,@united you would think you would clean your ramps. our jet is stuck in the snow in newark. this would never happen with @delta,negative
1979,@united i would understand if weather was the issue but bc of airline maintenance i had to sleep on an airport floor and lose an entire day,negative
1980,@united i am  thank you!,positive
1981,@united flight 403 is delayed 40 min bc a missing screw and were in danger of missing flight 6491,negative
1982,@united @wamo66 after 2 hours and 20 minutes most of which i was on hold i was able to get the cancelled flightled flight changed to delta.,negative
1983,@united no ua 6 finally cancelled flighted after hrs of delay. the replacement flight leaves late flightr than this one was scheduled tomorrow. not cool.,negative
1984,@united sister amp; bil stuck in detroit desperately need to be in florida flying w @usairways is there anything you can do?,neutral
1985,@united overbooked by fifty people?!? the worst.,negative
1986,@united on hold 2x 60 min ea. trying to bk a tix to asia. your website amp; customer service dont want my business. korea air it is.,negative
1987,@united i would like to know what is the easiest way to get a refund.,negative
1988,@united help me united! i paid for economy plus on a flight that was changed bc of delay. will i be automatically refunded?,negative
1989,@united the engineer that designed the 787 door frame to extend half a foot into the plane for seat 27a should be forced to always sit here,negative
1990,@united i just sent to you.,neutral
1991,@united your service need work  check out this bush airport customer service line last nt unitedagainstunited ,negative
1992,@united you realize you have said this already. at least last time you asked if i needed help,negative
1993,@united thanks.    this one was delayed an hour and a half prior to scheduled departure.,negative
1994,@united also your phone customer service is almost useless. ,negative
1995,@united lost bag on next flight. did not have time to load during the 5 hour delay?consequence from platinum to gold,negative
1996,@united a day late flightr one delayed amp; one cancelled flightled flight I am at a gate with no seat assign. lots of standby ppl also waiting.,negative
1997,@united can you not get the first flight of the day off the ground on time?   1531.  let us go.......,negative
1998,@united thank you for flying me out of the mess at iad and out to san diego. ,positive
1999,@united what does delayed due to customer service mean for ua761?,negative
2000,@united wifi was not working onboard.alerted attendant re socket.you sent me to a hotel for 24 hours with 7 vouchers??no wifi at hotel,negative
2001,@united flight 1 no luck on standby,negative
2002,@united do you have plans for an ipad app?  the iphone app is great but on the  ipad you have to flip the ipad.  is there a beta? tks.,neutral
2003,@united i tried.   we were hung up on twice. after speaking with someone then put on hold for 45 minutes.  no resolution.,neutral
2004,@united I am not sure it will have next time...,negative
2005,@united now the weight restriction? we will try to get as many of you as we can on this plane,negative
2006,@united thank you but the person in houston could only get me a flight routing through newark nj and I am going to sfo,positive
2007,@united you a bish,negative
2008,@united thanks!  good to know.,neutral
2009,@united okay. thanks.,neutral
2010,@united conference begins in 3 hours. up all night due to delays and still waiting to talk to someone about lost luggage.,negative
2011,@united seat 14a flight ua895,neutral
2012,@united is it on a flight now? thanks for reply.,neutral
2013,@united is 4:30am and i am in the customer service line trying not to scream. epicfailunited,negative
2014,@united it cannot be delivered. it has to be held there for me to cross the border to pick up. please do not try to deliver.,neutral
2015,@united my bag reference id number is ind43728m. thanks for looking at it.,positive
2016,@united one lady helping the 12 of us with luggage,positive
2017,@united flighted delayed for hours. 10pm arrival to vegas is now 4am. did you seriously lose my luggage???,negative
2018,@united met with agent. all taken care of. thx for reply,positive
2019,@united @suntoshi i still like you united airlines,positive
2020,@united 2100 ticket12h biz trvlno wifi.missed con fltnext one24hmissed meeting7 food voucherhotel chkout12flt5no wifihotel,negative
2021,@united still missing my luggage was promised someone would call no call so far flight from shanghai to dc with connecting flight in ord,negative
2022,@united are you looking for european flight attendants for paris or frankfurt?best fabrice,neutral
2023,@united you cancelled flightled my flight without notification?,negative
2024,@united since i have an international connection at 9am I am hoping for the same thing!,negative
2025,@united need help. never got tickets. conf ggqzqd,neutral
2026,@united some compensation (e.g. upgrade to higher class for my rescheduled flight to muc today) will be appreciated though ;),neutral
2027,@united it is too late flight for reflight booking problems now  it is morning already and i no longer need a hotel room,negative
2028,@united  once again your customer service at the providence airport was horrible. do you actually care about customers or just making money?,negative
2029,sorry @united. i accidentally populate flightd with you instead of @usairways. cannot wait til u are the only u in the sky. newamericanstinks,neutral
2030,@united you have cancelled flightled my flight ua922 for aircrft maintenance. I am delayed 10 hours now. what is my refund options?,negative
2031,@united where is my bag?? I am in mexico about to go build a house amp; my suitcase never got on my flight from cle w me. i need it. san68059m,negative
2032,@united i know that. thanks for the standard reply.,negative
2033,@united you told me you changed my flight and im in the ottawa airport and ac cant find my reservation! whats wrong with you,negative
2034,@united this has been the worst flight experience I have ever had. thank you for ending my vacation on such a bad note.,negative
2035,@united thanks for the epic service on 863 always a pleasure outstanding crew ,positive
2036,@united hey it is 4am guess what I am doing? not sleeping! why? cause you care so little about your customers you let them sleep in airports,negative
2037,@united no my concerns were not addressed,negative
2038,@united duh and done. bag whereabouts unknown. greeeaat,negative
2039,@united thanks for letting me sleep at dia to ensure you ruin as much of my vacation as possible. wait no fuck you. unitedairlinessucks,negative
2040,@united oh I will be sharing alright. especially about sleeping in this shitty airport and getting 1hr of sleep all night because ua.,negative
2041,@united @maxabrahms if he needs assistance? do you expect him to go on a scooby doo tour of terminals until he finds his stuff?,negative
2042,thanks @united for writing back. to assist you can return the bag you lost amp; clean up the feces sprinkled in your bathroom. too much to ask?,negative
2043,@united you hung up on me again.,negative
2044,@united your customer service team in manilla is absolute shit. i cannot even get a supervisor without being out back on hold?!,negative
2045,@united it is disgusting and unconscionable the treatment I have received tonight.,negative
2046,@united of course i would like hepl! are you kidding me? that is the only reason I have been on hold for the past 5 hours!,negative
2047,@united @thisiscoach every time my united flight got delayed. this is a big frustration.,negative
2048,@united you have got to be kidding me. i still have not talked to a human and your robotweeting me?! and asking for a follow????,negative
2049,.@united i would not describe feces sprinkled in your bathroom as an inconvenience. to help you might find my baggage you lost amp; return it.,negative
2050,@united and the fact that we were treated disrespectfully and lied to by members of your airline that claims to strive for the best,negative
2051,@united is that all that matters not the fact that we are at a different destination we were put through a tremendous amount of stress,negative
2052,@united 1k member broken seat back broken tv broken light lost bag  gee thnx. ua922 awesome job,negative
2053,@united absolutely disgusting the way you treat your customers. is not there anyone actively monitoring your cust serve? this is  unreal!!,negative
2054,@united nice. i wonder how you pick who to respond to? maybe only happy customers are easier. i wonder how many of those you have left.,negative
2055,@united averaging 200 minute wait times tonight or what? I have gotten no help from you tonight.,negative
2056,@united thanks for nothing. really?!? 60 minute wait times when I have had to call back 4x. that is 240minute wait times.,negative
2057,@united you are customer service is unbelievably bad. abysmal. I have been on the phone for well over 2hrs tonight. hung up on by yr ppl 3x.,negative
2058,@united you can read the full story when i submit a case to your team about the pilot of flight 6232 and why we are sleeping in dia,negative
2059,@united what is with the layover in canada from the ua125? is that scheduled?,neutral
2060,@united an inconvenience is a weather delay. your pilot deciding to waste enough time so the faa would not let him fly is negligence.,negative
2061,@united i bought a ticket with a price that was published by mistake and now i got an email that indicates united cancelled flightled my ticket! why?,negative
2062,@united new 737 plane; wifi: not working. entertainment: non existent. new seats: seriously uncomfortable. really? unitedfail ua1550,negative
2063,@united  you sure missed the mark on tonights redeye from lax to chicago. what a mess! you can do better!,negative
2064,@united after 443min of avoidable nonweather delays that appreciation link better be giving out goldentickets,negative
2065,@united where is our luggage,negative
2066,@united we just left @flysfo (delayed). ,negative
2067,@united all set. figured it out at the baggage office!,neutral
2068,@united screws up again...to be expected! never again!,negative
2069,@united why do not you allow families with small children to board first anymore? our next flight will be on another airline...,negative
2070,@united life goal: complete ,positive
2071,@united i have 20 and I will draw you a super sweet picture of your choosing. will that get me roundtrip to san diego?  it is so cold here.,neutral
2072,@united flight cancelled flightled to denver service agent offered me a non jet salt lake to denver or red eye out of atlanta then hung up on me.,negative
2073,@united that is called throwing loyalty out the window and trying to give less awards.,negative
2074,@united your unhelpful team? sure i did. I am in bangkok my bag in chicago. are u going to pay for my accommodation s until my bag arrives??,negative
2075,@united I would hardly call going from 10000 miles to 1000 miles a ticket cutting edge. about 110 the perk?,negative
2076,@united that is not an apology. say it.,negative
2077,@united just sent a dm. thank you for the acknowledgment.,positive
2078,@united download jeokoo the american app for air travelers,neutral
2079,@united been on hold for almost two hours trying to talk to someone about a cancelled flighted flight tomorrow morning. what do you suggest?,negative
2080,@united no apology? cool.,negative
2081,@united you ask a lot of customers who  you routinely screw over. you know that right?,negative
2082,@united I am a first time solo female traveller and it is pretty scary being in a foreign place not knowing where your belongings are...,negative
2083,@united i am. who knows where my bags are. do i just wait around and hope they arrive? no one has answers i have plans and no answers....,negative
2084,@united somehow i knew that you had wait until i was airborne to respond. hacks jokers neveragain.,negative
2085,@united missing flight attendant  delayed flight. prime example how 1 person impacts 100s of people. hnl gt; iah (ua252) wastedtime,negative
2086,@united has me stranded in texas and then hangs up on me when I am trying to figure out how to get home. cool.,negative
2087,@united we have tried to change our flight three times on the phone and got disconnected each time.,negative
2088,@united poor showing today no assistance to passengers who mis connected due to maintenance and waiting for baggage,negative
2089,@united has been showing the same tone deaf video for all these years about how wifi is coming! hah.not before i leave. @virginamerica ftw,negative
2090,@united can i get a follow? i fly with you for christmas.,neutral
2091,@united more people stranded cause you suck. better yet you weasel out of flight booking problems rooms for people claiming weather ,negative
2092,@united look at all the delta flights that landed while your pilots claimed they could not fly 6232 to jac. ,negative
2093,@united thank you! much appreciation for your help.,positive
2094,@united been sitting on flight 435 for an hour after landing in newark. first no gate then no jetway operator. seriously!?,negative
2095,@united worst customer service experience ever. 40 minutes to get the jetway to the plane at ewr tonight. flight 354   disappointed,negative
2096,@united  not only 2 hour delay  double booked seat nit parked at wrong gate  incompetence at its finest  been waiting  for over 1 hr,negative
2097,@united look at the people tryn to sleep in the airport due to your shitty company not comping rooms after cxl flight ,negative
2098,@united  routing a person from houston to newark nj  and then to sfo is not acceptable.,negative
2099,@united phone,neutral
2100,@united freakin,negative
2101,@united pick,neutral
2102,@united suck,negative
2103,@united 25 minute hold is 1 hr. 25 min. @abc11wtvd,negative
2104,@united 20 yrs of flying continentalunited exclusively i get why everyone hates you  fl1289sfoewr getmeoffrhisfuckinplane,negative
2105,@united 24 seats available on the 2:15 pm from ord to rdu...i need 2 seats please,neutral
2106,@united I am still trying to get things worked out and you have yet to respond back.,negative
2107,@united screwed up our reservation they assigned a new  to just one of us amp; when they changed our flight only changed the original .,negative
2108,@united 25 min hold has now progressed to over an hour...9196750985,negative
2109,@united you suck!,negative
2110,@united yo you need a new website really badly. this day and age...,negative
2111,@united if i was rebooked do i have to pick up my luggage?,neutral
2112,@united how can u not have gate ready or gate agent for going on hour two,negative
2113,@united just dmd,negative
2114,@united had a different fiasco on my outward trip and was rebooked on to qantas laxsyd. no ff miles show up in my account for that :(,negative
2115,@united i am following  you need to follow me for dm?,neutral
2116,@united it would be great to get a callback from the agent that disconnected me trying to put me on hold after waiting to connectfor 60min,negative
2117,@united not a good day to fly u two delayed flights still on plane at ewr waiting over 15 hours for gate get to gate no gate agent.,negative
2118,@united just called and did it. should have earlier because I am being sent to dca first and then to pvd. we may rent a car instead.,neutral
2119,@united my luggage is set to go to dca however i am rerouted to dulles. currently in nolo however bags are in houston. can you fix this?,negative
2120,@united i went from sacramento to minneapolis at the end of october 2014 in business class.,neutral
2121,@united I am extremely disappointed w my service for this trip as a united mileageplus explorer card holder.,negative
2122,@united i hope your corporate office is ready to deal with the rage created by your shitty service and bullshit pilots. unitedairlinessucks,negative
2123,@united such a relaxing space for a drink before my flight! (at @united global first lounge)  ,positive
2124,@united i will never fly with you again. i went on vacation this week and you lost my bags both ways. now i have no clothes. thankyou,negative
2125,@united sadly this wasnt just due to mother nature investigate this incident and your employees at sfo. terrible customer experience,negative
2126,@united flight ua90 is taking off now after 1750 was delayed over 4 hrs 30 passengers to miss their flight to tel aviv,negative
2127,@united 30 of us on flight 1750 trying to get to tel aviv that is trying to take off right now with out us so cruel. next flight is 350pm,negative
2128,@united considering I am now stuck in newark with virtually sleep in 30 hours i doubt it : hope car rentals are available,negative
2129,@united i see several economy plus can you put us in those. we do not have to be seated together,neutral
2130,@united what a really great amp; flattering story about you! you should be very proud :)  (via @parachuteguy),positive
2131,@united i see you coming to get me and @aggiemensgolf in hawaii! 12thman ,neutral
2132,@united airline sucks! customer service sucks! no courtesy! incompetent  passengers do not matter bet the ceo is just doing fine though!,negative
2133,@united do you expect to cancelled flight flights out of @denairport tomorrow morning given the storm?,negative
2134,@united also ran out of water and refused service costumerservice legit jk,negative
2135,@united i have a question,neutral
2136,@united can you increase the legroom? : how airlines compare  via @cnnmoney,negative
2137,@united on a 4 seg flt yvr to zurich why would you credit all miles and but only 2 segs on full fare?,negative
2138,@united i see two flights with two seats in the morning can we get on those,neutral
2139,@united 6377 and now they sent our green tagged bags to the luggage carousel. it is been one mess up after another. bad day @united,negative
2140,@united the lounge tells us they have no pillows for my grandma as one of the ladies opens the closet and i see 2 right there. unitedlies,negative
2141,@united the drunk guy you threw out of flight ua936 4hrs ago is better off than the rest of us held up for 5hrs in the plane without food.,negative
2142,@united sitting in denver airport waiting for a plane to be refueled. for an hour and a half! hurry the fuck up united you fucking retards,negative
2143,@united we will be at the airport first thing in the morning,neutral
2144,@united I am rebooked on a flight tomorrow even though i had 1st class seat orig i have a lousy coach seat,negative
2145,@united well this one missed the mark.  she was in a snit from the minute i stepped up to the counter,negative
2146,@united does not have to be same flight 2 and 2 will work also,neutral
2147,@united who compensates is for the delays caused by the fact that you do not have enough flight attendants?? ,negative
2148,@united we have been seating for 5hrs inside flight ua936 at iad delayed. we have only been offered water amp; cookies in business class. failed,negative
2149,@united please get me off this plane ua57,negative
2150,@united yes. on a nonstop to memphis tomorrow morning. with the snow coming in i got my fingers crossed it will go.,neutral
2151,@united traveling with 3 young kids!! chose our original flights for a reason.,neutral
2152,@united have since dropped to 2 layovers but still not acceptable.,negative
2153,@united our 1 layover itinerary was swapped for a 3 layover itinerary  really?!?,negative
2154,@united your app says flight ua936 to zrh departed 2:45hrs late flight but 5 hours late flightr we are still seating inside the plane in iad.  failed,negative
2155,@united not completely.  our flight was changed in july but we never received notification.,negative
2156,@united are there any upgrades avail to get us all on the same flight,neutral
2157,@united wife and i have two new destinations and I am stuck in dc until monday with no bags,negative
2158,@united no i do not. spoke with baggage contact at 1800 number. said they will try to get bags to stay at iad for pick up tmrw,negative
2159,@united can you make sure im on the upgrade list for 223 ewrpdx using my gpu priority? got a weird email about it.,negative
2160,@united so is that two seats avail so far for us.,positive
2161,@united has once again earned a place as the worst airline in the business,negative
2162,@united is flight number 1142 denver to las vegas 1125 on sunday feb 22 cancelled flighted ?,neutral
2163,@united when i read it say  in some cases can you please define this for me when for example would it not be the case?,negative
2164,@united I am trying your wifi on ua1616. but sorry it really slow. even spotify lagging and that is not a hard stream.,negative
2165,@united not until tomorrow night. and the hotel voucher had higher rate than travelocity not loving cost but hard working staff,negative
2166,@united flight ua1459 sitting at newark waiting for a gate seriously??? threehourslate flight,negative
2167,@united why do not you ever print my known traveler number on my ticket? because of this i never get to use the tsa prescreen i paid for,negative
2168,@united boarding was decent 3 useless agents that do not speak english (after 2.5hrs of hold) 6hrs of mech delay not so much,negative
2169,@united after all i have been through on this trip can you get me on another airline home?,neutral
2170,@united flight was cancelled flighted after the last opportunity to rebook us on other flights this evening passed.,negative
2171,@united boarding a plane would be much faster if you boarded back to front instead of front to back makessense efficiency travel flying,negative
2172,@united it is 9:56 and the desk attendant stated we would sit awhile until given the all clear. lack of communication seems to the norm.,negative
2173,@united had been suffering immensely ever since this merge .. hopefully I will never have to fly @united ever again ..,negative
2174,@united I would really like to get off of this plane now.,negative
2175,@united possibly the worst airlinegave them three chances second time in 2 weeks a flight has been delayed and or cancelled flightled due to mechanics,negative
2176,@united cabin pressurization issues are pretty serious. flight 1109 landed in washington because of it. my head is pounding.,negative
2177,@united sandra at ur international checkin counter was rude and offensive.  she commented she did not care if i complained cuz she had 25yrs,negative
2178,@united my contact stuff is in the bag and I am legally blind. this is so messed up.,negative
2179,@united did i mention that i was on the plane so is my luggage. my luggage that I am not going to have for how many days.,negative
2180,@united 3 times I have called customer services each at least 40 mins... each time cut off by your operators... why cannot you call me back!,negative
2181,@united tell me that you are at least going to cover a room and get me out of here.,negative
2182,@united omg!!! you just bumped me off the last flight. can this get any worse.,negative
2183,@united which just speaks to basically the worst designed web system ever.,negative
2184,@united yeah i tried that about 10 times for two different tickets and it told me to try again late flightr.,negative
2185,@united please fire the captain of flight 6232 today. he single handedly ruined every passengers day by being a piece of shit. unitedsucks,negative
2186,@united u blow,neutral
2187,@united what exactly do you hang on this hook? ,negative
2188,@united  flight cancelled flightled. 4 hrs at airport to book a new one for 95. just got two invoices for the flight each for approx 300. really?!,negative
2189,@united why do you hire pos pilots? thanks for ruining my trip and not allowing me to see my buddy as he turns 30. unitedsucksdick,negative
2190,.@united your airline is again rated the worst in america so you have got your work cut out for you. it is bc you treat customers like garbage.,negative
2191,@united what is the best way to get your tickets? print off at home or go to check in desk?,neutral
2192,@united pay for my hotel.... I am a broke student help,negative
2193,@united all 4 of us are on standby in houston tomorrow for flights to calgary. if you could get us on one or two of those that would help,negative
2194,@united what a nightmare!!  both sides of my flights are a disaster!  at houston getting attitude cuz i was sent to ticket counter,negative
2195,@united you are terrible.,negative
2196,@united it was eventually explained that weather conditions too extreme to get luggage off planes. will be sent on. but i will not be for days!,negative
2197,@united anyone there? did you read my dm?,negative
2198,@united 732 from denver. we just boarded! fingers crossed we get into the air!!!,positive
2199,@united ewr to mco made unplanned landing because of pressurization failure. worst pain I have ever felt i thought i was going to pass out,negative
2200,@united how does that make a flight takeoff on time? and regardless it makes me late flight because now i have to wait for my bag at baggage claim.,negative
2201,@united it is been over 3 hours...at what point do you let people off of the plane? @foxnews @cnn @msnbc,negative
2202,@united trying to get a customer service agent.  just landed in sfo.  cannot fly with 3 layovers with 3 kids!!,negative
2203,@united why are there no early morning flights from hnl to anywhere in the continental us? example monday 420. need flight to phl,neutral
2204,@united nope i gave up  maybe they will deliver it,negative
2205,@united thanks for the upgrade please try to get my company to approve more business class travel.,positive
2206,@united more and more delays! no cs help at all! no notifications!,negative
2207,@united and waiting,negative
2208,@united hoping there is a spare ac for 1171 tomorrow!  have a ship to board!  the sched aircraft is delayed from previous flts.,negative
2209,@united hubby made it by the skin of his teeth!   :),positive
2210,@united the incompetence is truly stunning at this point. 4 hours on a plane for a 1.75 hour nonstop flight.,negative
2211,@united 1st u delay my flight for mechanical failurethen 2 hrs on the runway amp; 13 hrs late flightr I am still here with a lost bag amp; no resolution,negative
2212,@united is the worst,negative
2213,@united still waiting,negative
2214,@united thanks for the reply. to clarify the airfare is similar to your likely intended peer group. the 3 beer charge however is not,negative
2215,@united...lies lies lies....still sitting at the gate have not moved an inch ,negative
2216,@united i have requested upgrade for ewr bom flight end of may. miles  copay. when will i know if i am upgraded?,neutral
2217,@united amp; finally he was told he couldnt use the front of plane restrm (he was row7) though myselfothers in rows behind him used wno issue,negative
2218,@united customerservice at @dullesairport could not be worse. i get the bad weather but this is awful.,negative
2219,@united any plans of restating nonstop service between iad and south florida?  we miss our flights to fll.,neutral
2220,@united instead of be told when we board we have to wait for the emails telling us about the delays.,negative
2221,@united additionally my husband paid for tv service amp; it stopped working about halfway through the flight.,negative
2222,@united following,neutral
2223,@united unfortunately they did not. i asked the staff if they could help. they said we should ask ppl in our row to switch but no one would,negative
2224,@united please update what is going to happen to passengers now that flt ua14 has been cancelled flightled,neutral
2225,@united your baggage person told me to go through @aircanada  they are handling my connecting flight.,negative
2226,@united i sent a pm over two weeks ago and have heard nothing!  horribleservice unitedsucks,negative
2227,@united well to the degree that he could... just to know after this experience I am cancelled flighting my miles card. thank god for @delta,negative
2228,@united thank you! excited to be working with you guys!,positive
2229,@united could really use your help getting our bags at iad. we are headed to yow but now going to yxu,neutral
2230,@united it appears there are six flights to calgary tomorrow is this correct?,neutral
2231,@united and yet we still have not left yet and i cannot watch my prepaid directtv. firstworldproblems,negative
2232,@united yr team have me on hold for over an hour unhelpful pls can you answer my question.,negative
2233,.@united let us know when you find everyones luggage. thanks. unitedairlines,negative
2234,@united do u serve peanutsnuts on yr flights yr policies r confusing contradictory advice pls help anaphylaxiswill u ask those 2 refrain?,neutral
2235,@united is there another airport closer to calgary we can fly out of tomorrow.,neutral
2236,@united nope! I am on ua 174 that was supposed to leave at 6:47 but are still at the gate. apparently we are about to pull back and deice.,negative
2237,@united still do not have my bag it is in the clt airport. was originally told i would have it by 2pm.,negative
2238,@united yes. about an hour after landing.,neutral
2239,@united just texted me to say flight is delayed due to air traffic control. bs! they pulled the plane in late flight lies,negative
2240,@united 6 minutes to boarding at b12 in ord. no sign of gate agent. a little help?,negative
2241,@united on flight 1220 right now...,neutral
2242,@united can you help me get a flight out tonight to houston?just do not want to be stuck here till monday with all this bad weather moving in,neutral
2243,@united website says my flight is on time. it leaves in 15 min and nobody has boarded yet. pathetic needtobehonest,negative
2244,@united from the air: another missed cnxn 2day. atc went on strike in belize this am. now family amp; i miss cnxn in ewr. please see my dms.,negative
2245,@united we are the airline that has cancelled flightled flights tomorrow to the nyc area,negative
2246,@united hoping to get out earlier than 223 (only phone option) or assistance with hotel.,neutral
2247,@united having to pay for a hotel room in cleveland because of last minute cancelled flightled connecting flight. booked through united..unimpressed!,negative
2248,@united i was on ua3782 and it was cancelled flightled. I am waiting at customer service.,negative
2249,@united i was on ua1069 today and left my sunglasses in seat 26f. please help me get them back! unitedairlines,neutral
2250,@united flight has been delayed for another hour so only have 24 mins to transit at lax... extremely unlikely i will make it!,negative
2251,@united 4595. we are now going back to the gate bc of something overheating after sitting out here for 3 hours.love united but this stinks,negative
2252,@united congratulations united. fail again. sky at a gate with a plane full of people waiting on 2. weather gets worse now we cannot leave.,negative
2253,@united thank you for leaving my bag in houston! despite what your system says i was definitely on the flight!,negative
2254,@united how come a 27 shuttle bus from lga to ewr has electrical power outlets but our new airbus interiors do not? whyjeff?,negative
2255,reply to @united  does not do any good to check outlets preflight when moved to different equipment after boarding due to malfunction.,negative
2256,@united 15hr flight wbroken dreamliner media system. witness mental breakdown as we bounce off walls. remind me why I am 1k.,negative
2257,@united i was rebooked thru sfo but arrive 9 hours late flight and miss activities. i asked to fly today with stop over. was told I would have to pay.,negative
2258,@united never again.,negative
2259,@united tonight you made this fred flintstone happy with an upgrade to 1st class. ,positive
2260,@united who do i need to contact regrading a complaint and to get a voucher funds for future travel on united?,neutral
2261,@united is trying to strand us in houston until tomorrow morning. pretty sure overflight booking problems and maintenance are not our fault.,negative
2262,@united  your costumer service today in the providence airport was sucked. recommend your airline learn to check the weather and be honest,negative
2263,@united fire yr rep who refused to put me on a flight that i had a boarding pass and seat on. full explanation and her name in complaint.,negative
2264,@united that is great! pls let me know when u start!,positive
2265,@united @ehsanismpowered lmfao,neutral
2266,@united god damn fucking crew will not be here till 6:40 so you have known for over an hour and a half the flight time was bullshit.,negative
2267,@united you really do have a culture problem. everyone i tried to work with blamed someone else or told me how they are short staffed,negative
2268,@united sucks.,negative
2269,@united i can understand that but to not have another plane available when there is a full day till departure is unacceptable. phoenix?,negative
2270,@united is honestly ruining my fucking life right now. never again!!!!!!!!!!!!!!!!!!!!!!!!!!!,negative
2271,@united flight cancelled flightled to bdl and stranded @dullesairport. waiting almost 2hrs at customer service. shout out to diligent agents.,negative
2272,@united where is the crew for ua748?,neutral
2273,@united thanks ... not sure arranged move to the earlier flight but I am at the gate with a seat assignment.  super nice agent at gate c4 ord,positive
2274,@united quality work going on here. ,negative
2275,@united no customer service rep could confirm where my bag was amp; each gave me different info. ruined 2 events i had today. disappointed,negative
2276,@united we have let you know how to help the millions of customers you have treated like garbage. it is no coincidence ur ranked worst airline.,negative
2277,@united yes after landing at 930pm last night. spoke to 10 baggage claim customer service reps. finally spoke to one amazing ticket agent.,negative
2278,@united charging 6500 for biz flight to uk  somewhat egregious. charging 3 on top for a sam adams draft at the united club is usurious.,negative
2279,@united i see. thanks for explaining.,positive
2280,@united your social listening capabilities are awful if this is the reply for the context in which you were mentioned @stevelord212,negative
2281,@united if you follow me i will dm you my phone  which you can call.,negative
2282,@united after an hour wait my issue is resolved. i did contact customer service to comment on the wait time. thanks for contacting me.,positive
2283,@united yes they did. must have fixed the broken ramp. thanks!,positive
2284,@united flight:ua1750 is basically a prison on the runway @ sfo 6delays 4hrs of sitting no water no answers. reminded y i hate this airline,negative
2285,@united thanks,positive
2286,@united hey i missed my outbound flight  can i still use my return ticket?,neutral
2287,@united says @usairways  is the final carrier . us air doesnt have it. i want my bag!!! not a claim not an im  sorry. i want my clothes!!,negative
2288,@united seriously? 24 hrs to get bags from iad intl arvls to carousel 2 for custs wcancelled flightled connects? i understand irrops but ridiculous!,negative
2289,@united most terrible flight experience happening to everyone right now on flight:ua1750 6 delays 4 hrs total missed all my flights now thnx,negative
